customer_id,age,gender,income,years_member
205,38,M,74000,5
206,61,M,82000,5
207,52,F,92000,5
208,50,M,70000,5
209,54,M,118000,5
210,75,F,109000,4
211,82,M,73000,4
212,64,M,38000,4
213,54,F,99000,7
215,82,M,72000,4
217,90,M,45000,4
218,34,F,67000,4
219,44,M,53000,4
220,79,F,106000,4
221,58,F,95000,6
223,47,F,74000,6
224,60,F,59000,5
225,83,M,54000,5
226,74,F,103000,4
227,89,M,101000,7
228,68,M,62000,6
229,63,F,110000,5
230,40,F,51000,4
231,79,F,99000,5
232,71,M,30000,4
233,76,F,114000,7
234,89,M,96000,6
235,63,M,36000,5
237,41,M,83000,5
238,71,F,56000,4
239,44,M,36000,5
240,25,M,73000,6
241,27,M,70000,4
242,67,M,106000,4
243,77,F,80000,6
244,68,F,66000,7
245,37,M,64000,6
246,55,M,60000,6
247,30,M,54000,6
248,51,M,54000,7
249,47,F,92000,4
250,49,M,48000,4
251,32,M,38000,7
252,30,M,69000,5
253,47,M,86000,5
255,34,M,34000,5
256,78,F,101000,5
257,85,F,71000,6
258,75,F,69000,9
259,76,F,71000,5
260,89,F,59000,7
261,58,M,70000,4
262,23,M,49000,5
263,58,M,53000,5
265,64,F,95000,7
266,72,M,39000,5
267,66,F,72000,5
268,49,F,68000,5
269,43,M,71000,5
270,58,M,39000,4
271,43,M,76000,5
272,56,F,87000,5
273,69,F,118000,5
274,60,O,94000,4
275,81,M,70000,6
276,42,M,91000,5
277,75,M,71000,7
278,62,M,73000,4
279,55,F,54000,6
280,65,M,39000,5
281,52,M,46000,5
282,30,F,40000,5
283,74,F,75000,7
284,100,F,63000,7
285,26,F,40000,5
286,56,F,53000,6
287,50,M,90000,8
288,73,M,95000,5
289,49,F,74000,5
290,37,M,50000,6
291,65,M,57000,6
292,64,F,81000,6
293,48,F,53000,6
294,20,M,32000,7
296,46,M,40000,4
297,24,M,69000,7
298,71,M,95000,7
299,50,F,78000,4
300,37,M,92000,5
301,57,F,81000,6
303,52,M,85000,8
304,41,M,41000,6
305,66,F,74000,5
306,66,F,87000,7
307,68,F,120000,5
308,20,M,70000,6
309,43,M,42000,5
310,73,M,38000,5
312,42,F,56000,5
313,82,M,110000,6
315,70,F,92000,5
316,42,F,71000,5
317,48,M,62000,7
318,53,F,93000,7
319,64,M,67000,4
320,79,M,90000,4
321,51,M,55000,6
322,45,F,88000,4
323,48,F,105000,6
325,54,F,119000,7
326,52,M,48000,4
327,28,M,68000,9
328,69,M,47000,8
329,73,M,92000,5
331,67,F,71000,5
332,76,F,34000,4
333,55,F,53000,7
334,89,F,83000,4
336,57,M,41000,4
338,54,F,70000,4
340,58,M,73000,5
342,49,M,39000,5
343,73,F,79000,4
344,58,F,76000,5
345,51,M,70000,5
346,74,M,78000,6
347,53,M,95000,7
348,61,M,32000,4
350,41,M,55000,5
351,64,F,95000,5
354,42,M,75000,5
355,50,M,57000,6
356,60,M,56000,5
357,57,F,83000,6
358,39,F,54000,5
360,57,F,67000,6
361,57,M,71000,5
362,68,M,51000,6
363,83,F,114000,7
364,35,F,72000,4
365,90,F,72000,4
366,56,M,72000,4
368,84,M,81000,5
369,62,M,39000,4
370,63,M,58000,5
372,67,M,56000,6
373,68,F,50000,5
374,55,M,73000,5
377,24,F,59000,5
378,40,M,39000,5
379,83,M,61000,4
382,63,F,41000,5
383,59,F,59000,4
384,49,O,42000,5
385,61,F,99000,6
386,42,M,57000,4
387,58,M,36000,4
388,48,F,44000,6
389,35,M,64000,5
390,36,M,31000,4
391,41,F,100000,6
392,83,F,73000,5
393,53,M,87000,5
395,53,F,97000,6
396,80,F,48000,4
397,25,M,66000,7
398,63,M,119000,7
399,63,F,66000,6
400,56,F,109000,4
401,43,M,59000,5
402,58,F,58000,6
403,59,M,59000,5
404,49,M,104000,4
405,63,F,70000,5
406,42,M,94000,7
407,52,F,57000,4
408,57,F,37000,4
409,56,F,59000,5
410,80,M,87000,5
411,43,M,52000,6
412,54,M,70000,5
413,28,M,73000,6
414,57,F,95000,5
415,71,M,67000,7
417,64,F,112000,4
418,20,M,49000,8
421,36,F,58000,5
422,45,F,99000,6
423,71,M,65000,8
424,67,M,89000,4
425,72,F,81000,6
426,51,M,100000,4
428,48,M,68000,5
429,53,M,60000,4
430,25,M,53000,4
431,79,F,85000,4
432,19,M,32000,4
433,28,F,49000,4
434,56,M,76000,8
435,44,M,37000,8
436,25,M,40000,5
437,61,F,78000,4
438,34,M,59000,5
439,41,F,37000,5
440,44,M,51000,6
441,51,F,92000,4
442,47,M,44000,5
443,63,F,70000,4
444,62,M,61000,5
445,66,M,71000,4
446,62,M,70000,5
447,83,M,88000,6
448,43,M,58000,4
449,66,F,94000,6
450,70,M,44000,5
451,65,F,66000,4
452,33,F,54000,6
453,63,M,78000,4
454,77,M,42000,5
455,49,F,57000,5
456,53,M,104000,5
457,61,F,87000,6
458,60,M,38000,7
460,44,F,60000,5
461,69,M,62000,7
462,39,M,71000,4
463,38,F,55000,7
464,83,F,99000,5
465,63,F,94000,6
466,41,F,41000,7
467,54,M,39000,5
469,41,M,55000,4
472,56,F,69000,5
474,50,M,98000,4
475,58,M,55000,7
476,39,M,61000,5
477,60,F,55000,5
478,60,F,74000,6
479,24,M,38000,4
480,48,M,57000,6
481,50,M,110000,4
482,41,F,67000,5
483,45,M,84000,7
484,48,M,93000,6
485,59,M,87000,4
486,43,M,45000,4
487,56,F,67000,5
488,54,M,93000,6
489,48,F,47000,4
493,63,M,49000,5
495,47,M,35000,5
496,52,M,56000,6
497,58,F,78000,6
498,78,M,39000,7
499,43,M,40000,8
500,68,M,61000,5
501,18,M,48000,7
502,39,F,85000,6
503,74,M,99000,4
504,53,F,98000,5
505,61,F,67000,7
506,23,M,54000,4
507,46,M,55000,5
508,51,M,78000,5
509,77,M,86000,4
510,79,F,91000,5
511,41,M,41000,7
512,60,F,78000,6
513,54,F,47000,5
514,63,O,89000,7
515,73,M,76000,4
516,47,M,77000,4
517,84,M,82000,6
519,20,M,56000,5
520,24,F,35000,7
521,58,F,71000,5
522,35,M,40000,5
524,57,M,33000,5
525,87,M,55000,7
526,86,F,84000,7
527,57,F,100000,4
528,61,M,112000,5
529,25,M,53000,5
530,38,M,31000,7
531,94,M,50000,8
532,59,M,61000,7
533,49,F,73000,5
534,61,F,72000,6
536,31,M,64000,5
537,75,F,53000,5
540,51,M,65000,4
541,68,M,74000,5
542,86,M,71000,4
543,62,F,117000,4
544,61,M,64000,4
546,63,F,57000,4
547,26,F,52000,5
548,50,F,77000,7
550,45,F,93000,5
551,88,F,64000,6
552,50,F,92000,5
553,65,F,119000,5
555,55,M,76000,5
556,71,M,95000,6
557,34,F,46000,7
558,81,M,65000,5
560,65,F,98000,9
563,63,F,62000,4
564,73,M,58000,6
565,84,F,77000,4
567,55,F,62000,4
568,63,M,70000,5
569,24,F,51000,4
570,36,M,74000,9
571,56,M,69000,6
572,65,F,119000,5
573,75,M,75000,4
574,71,M,114000,6
575,71,M,118000,5
576,61,M,39000,5
577,73,O,88000,4
578,19,M,73000,4
579,64,F,34000,5
580,66,F,112000,5
581,37,M,59000,4
582,22,M,49000,6
583,54,F,96000,4
584,62,M,73000,4
585,50,F,75000,4
586,80,F,87000,5
587,55,M,112000,7
588,40,M,50000,5
589,43,M,52000,7
590,61,M,53000,5
591,32,F,43000,5
593,68,F,32000,5
594,66,F,104000,5
595,36,M,35000,5
596,38,M,60000,5
597,80,F,54000,7
598,82,F,68000,4
599,45,M,74000,7
600,89,M,63000,5
601,45,F,94000,5
602,59,M,35000,4
603,22,M,44000,4
604,67,F,50000,5
605,30,F,41000,6
607,56,M,88000,4
608,53,F,100000,6
611,32,M,58000,6
612,51,F,73000,6
613,38,F,66000,5
614,52,F,45000,8
616,55,M,68000,6
617,81,M,41000,5
618,55,M,78000,5
619,51,F,67000,8
621,71,F,74000,7
622,45,M,84000,6
625,49,M,71000,7
626,62,M,48000,5
627,65,F,99000,7
629,50,F,63000,4
630,20,F,60000,4
631,49,F,31000,4
632,55,M,83000,5
633,58,M,54000,8
635,95,F,64000,5
636,83,F,99000,4
637,56,F,70000,6
638,66,M,54000,5
639,87,M,74000,5
641,55,M,89000,6
642,52,F,114000,5
643,59,F,83000,6
644,59,F,51000,6
645,49,F,74000,5
646,62,F,46000,8
647,56,F,80000,7
648,51,F,97000,5
649,47,F,62000,8
650,38,M,96000,6
651,43,M,44000,4
652,43,M,72000,6
653,49,M,84000,7
654,36,F,57000,5
655,45,F,58000,6
657,53,M,95000,4
658,43,M,60000,5
660,18,F,67000,5
661,40,M,41000,6
662,83,F,114000,5
663,49,M,65000,4
664,51,F,106000,5
665,25,M,55000,4
666,71,M,55000,4
667,58,M,71000,5
668,53,M,36000,8
669,83,F,93000,5
670,46,M,56000,6
671,69,F,97000,5
672,51,M,73000,5
673,61,M,68000,4
674,81,F,101000,5
675,60,M,41000,4
676,48,M,75000,7
677,48,F,87000,7
678,73,M,63000,8
679,41,F,89000,4
680,39,F,77000,6
681,31,M,56000,5
682,38,M,61000,5
683,46,F,36000,5
684,87,M,72000,8
685,53,F,83000,7
687,93,F,48000,9
688,42,M,41000,7
689,54,M,79000,7
690,47,M,53000,4
691,75,M,109000,5
692,79,F,61000,4
693,36,F,64000,5
694,30,M,43000,5
695,34,M,50000,9
696,39,F,78000,6
697,52,F,87000,6
698,43,M,34000,6
699,75,M,38000,4
700,47,M,40000,5
701,60,F,117000,4
702,31,M,43000,4
703,70,M,35000,4
704,49,F,36000,4
705,48,M,56000,5
706,37,M,36000,5
708,67,F,67000,7
709,48,M,65000,7
710,69,M,38000,7
711,66,M,32000,5
712,38,M,56000,5
713,59,F,90000,5
714,43,M,65000,4
715,43,M,41000,8
716,68,F,108000,5
717,60,M,45000,4
718,53,M,39000,7
719,34,M,50000,4
720,77,M,64000,4
721,88,F,73000,5
723,62,F,88000,4
724,63,M,86000,8
725,70,M,99000,5
726,38,M,33000,4
727,44,F,39000,4
728,40,F,50000,4
729,51,M,99000,4
731,72,F,60000,9
732,22,M,45000,5
734,72,M,49000,5
735,70,M,37000,5
737,23,M,65000,8
738,38,M,75000,4
739,71,F,67000,7
740,50,M,51000,9
741,72,M,35000,8
742,43,M,31000,4
743,63,M,70000,6
744,73,M,46000,4
745,53,M,57000,7
746,37,F,57000,4
748,45,M,44000,8
749,59,M,61000,4
750,74,M,51000,6
751,18,M,36000,6
752,94,F,84000,6
753,38,M,33000,6
754,67,F,50000,6
755,46,F,36000,7
756,82,M,41000,5
757,37,M,36000,4
758,65,F,71000,4
759,66,F,34000,5
760,65,F,57000,6
763,54,F,52000,6
764,63,M,113000,5
766,50,F,110000,4
767,64,M,81000,5
768,66,M,50000,5
769,76,F,62000,6
770,56,F,82000,5
771,49,M,75000,5
772,29,F,53000,7
774,51,F,56000,6
775,69,M,68000,4
776,48,M,52000,9
777,25,M,68000,7
778,82,M,78000,7
779,57,F,70000,6
780,50,M,70000,5
782,74,F,72000,4
785,49,F,59000,4
787,80,M,88000,5
789,62,F,81000,6
790,63,M,50000,4
791,54,F,109000,6
793,45,M,55000,4
794,49,F,110000,5
795,61,M,35000,5
796,46,M,46000,5
797,64,M,59000,8
799,69,F,89000,7
800,69,M,64000,7
801,66,M,70000,5
802,60,M,56000,8
803,40,F,51000,5
804,74,M,64000,7
805,52,F,31000,7
807,62,F,55000,7
808,61,F,118000,7
809,22,F,55000,5
810,62,M,35000,5
811,23,M,63000,5
812,90,F,104000,6
813,72,F,41000,7
814,69,F,93000,6
815,71,F,43000,5
816,32,M,38000,4
817,36,M,51000,4
818,58,F,38000,4
819,75,M,103000,7
820,58,F,41000,5
821,76,M,69000,5
823,49,F,73000,9
824,57,F,90000,6
825,66,M,74000,4
826,33,M,54000,4
827,54,M,39000,4
828,48,F,82000,6
829,66,F,62000,5
830,46,F,73000,7
831,51,F,91000,5
832,67,F,58000,7
833,28,F,65000,4
834,20,F,55000,5
835,74,M,34000,5
837,67,M,73000,9
840,86,M,55000,5
841,58,M,83000,5
844,67,M,41000,5
845,58,F,92000,5
846,54,F,82000,5
847,56,F,55000,6
849,58,M,41000,4
850,56,F,91000,4
851,63,M,61000,4
852,48,O,80000,6
853,50,M,59000,4
855,63,M,96000,5
857,79,F,94000,9
858,47,M,92000,4
859,57,M,110000,5
860,63,F,74000,6
861,79,M,64000,4
862,54,M,92000,7
863,53,M,33000,5
864,53,M,96000,5
865,70,F,58000,7
866,47,F,77000,6
867,42,M,60000,6
869,61,M,100000,7
870,30,M,35000,4
871,59,M,108000,5
872,38,M,38000,4
874,69,M,36000,7
875,31,M,55000,6
876,58,F,37000,4
877,74,F,61000,4
878,66,M,72000,6
879,65,F,88000,5
880,56,F,83000,6
881,63,M,51000,4
882,38,F,69000,4
883,70,F,78000,5
884,64,F,70000,8
885,43,F,47000,4
886,47,M,69000,6
887,49,M,91000,7
888,64,F,59000,8
889,50,F,67000,7
890,32,O,54000,6
891,56,F,106000,5
892,53,M,69000,6
893,33,M,68000,5
895,25,M,56000,7
896,59,O,73000,5
897,58,F,77000,5
898,73,F,67000,7
899,45,M,52000,5
902,22,F,50000,5
903,50,F,110000,5
904,57,M,33000,5
906,56,M,56000,7
907,68,F,115000,5
909,36,M,67000,4
910,66,M,50000,7
911,68,F,117000,4
912,84,F,68000,4
913,74,F,52000,4
914,49,F,70000,5
916,30,F,69000,7
917,74,F,97000,5
918,55,F,57000,4
919,19,M,65000,5
920,69,M,70000,5
921,69,F,34000,4
922,54,M,39000,6
923,25,M,60000,8
925,49,F,112000,7
926,55,M,41000,5
927,69,M,72000,8
929,60,M,68000,5
930,40,M,91000,6
931,64,F,59000,5
933,65,M,50000,6
934,91,F,37000,5
935,71,M,87000,5
937,57,M,38000,6
938,51,M,93000,7
939,82,M,89000,5
940,60,M,68000,6
941,68,M,71000,5
942,42,M,63000,5
943,65,F,77000,5
944,42,F,53000,5
945,45,M,63000,4
946,64,M,38000,5
947,53,F,32000,5
949,47,F,53000,5
950,92,M,113000,4
951,42,F,48000,6
952,45,M,68000,5
953,60,F,47000,4
954,32,M,34000,7
955,63,M,73000,5
956,89,F,81000,5
957,54,F,91000,5
958,53,F,95000,4
959,60,M,42000,5
960,21,M,74000,6
961,63,M,58000,5
962,90,F,75000,4
963,47,M,82000,6
964,25,M,46000,8
966,41,M,61000,5
968,22,M,31000,6
970,57,F,51000,6
972,37,F,100000,7
973,65,F,79000,8
974,45,M,32000,4
975,42,M,53000,4
976,19,M,69000,5
977,33,M,51000,5
978,96,F,72000,5
979,46,M,42000,4
980,74,O,61000,7
981,62,F,103000,7
982,55,O,76000,5
983,50,F,92000,6
984,59,M,64000,6
985,73,M,106000,5
986,57,F,89000,6
987,86,M,92000,6
989,74,F,72000,5
990,88,F,71000,5
991,63,M,44000,8
992,49,F,44000,6
994,49,F,115000,4
996,63,M,64000,5
997,25,M,73000,7
998,22,F,36000,4
999,55,F,58000,6
1000,67,M,44000,5
1001,52,F,71000,4
1002,50,M,89000,4
1005,42,F,56000,6
1006,53,M,78000,7
1007,70,F,101000,6
1008,57,F,111000,7
1009,41,M,49000,6
1010,62,F,67000,6
1011,63,M,90000,4
1012,53,M,40000,5
1013,60,M,57000,4
1014,90,F,71000,4
1015,52,M,50000,7
1016,28,M,35000,5
1017,68,F,76000,4
1018,43,F,63000,5
1019,20,F,47000,8
1020,52,M,104000,6
1021,73,F,75000,4
1022,36,M,52000,4
1023,28,M,51000,9
1025,69,F,84000,6
1026,33,F,56000,5
1027,39,F,35000,5
1028,51,F,84000,5
1029,79,M,50000,6
1030,40,M,44000,6
1031,59,F,109000,7
1032,54,M,75000,5
1033,32,M,48000,4
1034,37,M,57000,5
1035,49,F,79000,4
1036,66,M,69000,5
1037,67,M,35000,4
1038,47,M,38000,5
1039,57,M,41000,4
1040,31,M,45000,4
1041,55,M,52000,4
1042,81,M,74000,4
1043,43,M,51000,4
1044,76,F,85000,8
1045,64,F,83000,6
1046,61,F,80000,5
1047,44,F,41000,4
1048,72,F,39000,5
1049,53,M,61000,4
1050,50,M,62000,7
1055,50,F,98000,5
1056,81,F,57000,4
1057,44,F,36000,5
1058,81,O,57000,4
1059,49,F,54000,5
1060,61,F,108000,6
1061,38,F,72000,5
1062,58,M,77000,5
1064,77,M,58000,7
1065,63,F,31000,5
1066,64,F,102000,6
1067,33,F,43000,7
1068,39,M,64000,4
1069,61,M,34000,9
1072,63,F,96000,6
1073,63,M,34000,5
1074,28,M,67000,5
1075,46,M,32000,5
1076,20,F,59000,5
1077,70,M,98000,5
1078,83,F,34000,5
1079,20,F,62000,6
1080,73,F,89000,5
1081,29,M,67000,5
1082,24,F,53000,4
1084,98,M,52000,4
1085,28,F,68000,5
1086,43,M,88000,4
1088,60,M,51000,5
1089,59,F,72000,5
1090,81,F,62000,9
1091,65,F,51000,5
1093,76,M,99000,7
1094,66,M,74000,5
1096,62,M,76000,7
1097,41,M,41000,5
1098,33,F,41000,5
1099,52,F,89000,6
1100,38,F,50000,5
1101,57,M,83000,6
1102,60,M,93000,9
1103,41,M,71000,5
1105,47,F,59000,7
1106,53,M,91000,4
1107,19,M,67000,5
1108,55,F,47000,6
1109,39,F,90000,6
1110,50,M,42000,5
1113,42,M,48000,5
1114,56,M,32000,4
1115,59,M,86000,7
1116,60,M,92000,4
1117,58,F,77000,6
1118,64,F,33000,5
1119,56,M,49000,7
1120,77,M,73000,9
1121,58,M,39000,5
1122,69,F,74000,6
1123,62,M,92000,6
1124,79,M,71000,5
1125,53,F,31000,5
1126,64,M,60000,6
1127,49,F,52000,5
1128,22,M,54000,5
1129,79,M,42000,6
1130,38,F,60000,5
1131,64,F,88000,4
1132,81,F,71000,6
1133,47,F,40000,9
1136,20,M,40000,5
1137,83,F,69000,5
1138,56,M,57000,8
1140,37,M,46000,8
1141,44,F,71000,4
1142,22,F,51000,5
1143,51,M,53000,5
1144,42,M,33000,4
1145,48,M,39000,4
1146,78,M,44000,4
1147,67,M,69000,7
1148,33,M,54000,4
1149,83,F,58000,5
1150,74,M,61000,4
1151,34,M,72000,8
1152,57,F,72000,7
1153,29,F,39000,8
1154,68,M,52000,4
1155,21,F,31000,6
1156,20,M,33000,4
1157,62,F,74000,5
1158,31,M,60000,5
1159,46,M,75000,5
1160,70,F,67000,6
1161,54,F,53000,6
1162,53,M,83000,5
1164,67,F,102000,4
1165,30,M,53000,4
1166,76,F,109000,5
1167,57,F,89000,6
1168,36,M,37000,7
1169,42,M,50000,4
1170,54,M,95000,6
1171,19,M,34000,7
1172,100,F,118000,5
1173,59,F,111000,6
1174,72,M,53000,4
1175,38,F,63000,5
1176,20,F,39000,5
1177,42,M,78000,6
1178,51,M,66000,5
1179,70,M,35000,5
1180,38,M,56000,7
1181,85,M,95000,5
1182,53,M,92000,7
1183,51,M,61000,7
1184,26,M,63000,5
1185,40,M,70000,4
1186,75,M,50000,9
1187,40,M,99000,9
1188,81,F,33000,7
1190,78,M,42000,5
1191,53,M,100000,6
1192,49,M,79000,6
1193,58,M,31000,5
1194,59,M,73000,5
1195,58,F,95000,5
1196,36,F,77000,6
1198,66,M,56000,4
1199,71,M,84000,5
1200,83,M,52000,5
1201,52,M,65000,9
1203,61,F,109000,5
1204,49,M,74000,8
1205,70,F,87000,6
1206,53,F,104000,5
1207,59,F,73000,6
1208,21,F,63000,5
1209,53,F,87000,5
1210,32,M,45000,6
1211,63,F,51000,4
1212,75,F,72000,7
1213,56,M,52000,4
1214,49,M,45000,7
1215,42,M,93000,7
1217,55,M,71000,5
1218,44,M,55000,7
1221,70,M,60000,7
1222,62,M,31000,4
1223,96,M,82000,6
1224,65,M,116000,5
1225,51,F,85000,6
1226,44,F,63000,5
1227,39,F,31000,7
1228,40,F,41000,6
1229,33,F,64000,4
1230,76,F,64000,6
1231,26,M,62000,4
1232,65,M,31000,6
1234,64,F,86000,6
1235,75,M,36000,4
1236,75,F,99000,4
1237,58,F,81000,5
1238,25,M,50000,5
1239,19,M,46000,5
1240,26,F,69000,4
1241,58,M,75000,6
1242,69,F,67000,8
1243,58,M,93000,4
1244,48,M,52000,6
1245,26,F,55000,4
1246,35,F,58000,5
1247,63,M,46000,7
1248,24,F,75000,5
1250,48,F,71000,5
1251,55,M,79000,6
1252,58,M,44000,6
1254,75,F,75000,5
1255,55,F,89000,7
1256,84,M,53000,5
1257,79,F,102000,5
1258,66,M,96000,6
1259,67,F,61000,5
1260,69,F,73000,6
1261,66,M,62000,7
1262,72,F,116000,6
1263,69,F,53000,5
1264,60,M,41000,5
1265,84,M,72000,5
1266,53,F,68000,5
1267,81,F,111000,7
1268,53,M,62000,8
1269,64,M,56000,5
1270,70,M,52000,4
1271,52,F,60000,7
1273,18,M,46000,4
1274,54,F,37000,5
1275,56,F,40000,7
1276,68,F,88000,5
1277,30,M,55000,4
1278,59,M,32000,5
1279,50,M,33000,4
1280,30,M,41000,9
1281,76,M,43000,4
1282,34,M,39000,4
1283,74,M,75000,6
1284,56,M,77000,6
1285,87,F,58000,6
1286,80,M,60000,4
1287,64,M,53000,6
1289,22,M,66000,4
1290,49,F,102000,4
1291,66,M,35000,4
1292,70,M,70000,6
1294,52,M,83000,6
1295,60,M,54000,5
1296,65,M,52000,7
1297,43,M,59000,6
1298,24,M,40000,4
1299,65,M,42000,4
1301,25,M,35000,8
1302,76,M,56000,7
1303,73,M,73000,4
1304,62,F,107000,6
1307,48,M,39000,5
1308,20,M,75000,4
1309,60,F,77000,5
1310,66,M,58000,4
1311,48,M,57000,5
1312,80,M,39000,9
1313,46,F,45000,5
1315,61,F,98000,4
1316,70,F,71000,5
1317,63,F,100000,6
1318,30,F,63000,5
1319,61,M,71000,5
1320,55,M,74000,5
1321,53,F,99000,6
1322,50,M,31000,5
1323,68,M,81000,6
1324,19,F,67000,7
1325,44,F,61000,5
1327,65,M,35000,5
1328,72,M,95000,6
1329,58,M,47000,7
1330,66,M,70000,6
1331,67,F,110000,7
1332,72,M,56000,5
1333,58,M,31000,7
1334,63,F,56000,5
1335,74,M,52000,5
1336,50,M,86000,6
1337,35,M,73000,4
1338,51,F,76000,4
1340,48,M,57000,4
1341,62,M,68000,8
1342,71,F,108000,5
1343,42,M,57000,8
1344,78,F,89000,5
1346,81,F,119000,5
1347,64,F,71000,5
1348,43,M,56000,5
1349,48,F,93000,7
1350,35,O,54000,5
1351,40,M,79000,6
1353,54,F,73000,5
1354,53,M,115000,5
1355,63,M,47000,9
1356,64,F,68000,6
1357,56,O,33000,4
1358,71,M,73000,7
1359,78,M,77000,6
1361,43,M,32000,7
1362,35,F,52000,9
1363,67,M,82000,6
1364,86,F,93000,7
1366,53,F,114000,6
1367,45,F,33000,5
1368,49,M,40000,5
1369,37,M,66000,5
1370,81,F,88000,7
1371,33,F,41000,5
1372,48,F,74000,5
1373,54,F,92000,5
1375,88,F,55000,5
1377,22,F,65000,6
1379,62,F,98000,6
1380,41,M,60000,6
1381,60,F,53000,7
1383,75,M,64000,6
1384,51,F,100000,4
1385,60,F,32000,4
1386,80,M,70000,7
1387,19,M,59000,4
1388,53,M,34000,8
1389,41,M,53000,5
1391,55,F,52000,6
1392,66,M,86000,5
1393,42,F,59000,5
1394,77,M,61000,4
1395,59,M,63000,4
1396,77,F,87000,6
1397,58,F,93000,5
1399,53,F,99000,6
1400,43,M,33000,4
1401,50,M,39000,6
1402,56,F,76000,5
1403,62,M,50000,5
1404,64,M,36000,5
1405,31,M,44000,4
1406,56,M,99000,6
1407,60,F,99000,4
1408,51,M,63000,5
1409,71,M,32000,5
1410,80,M,51000,4
1411,67,F,87000,5
1412,76,F,98000,7
1413,29,M,59000,5
1414,63,F,81000,4
1415,64,F,76000,5
1417,22,M,56000,8
1418,52,F,80000,5
1419,82,F,99000,6
1420,63,F,86000,5
1422,27,M,70000,4
1424,82,M,86000,5
1425,55,F,81000,5
1428,60,F,115000,5
1429,67,F,81000,4
1430,44,M,55000,5
1432,19,M,46000,7
1434,62,M,114000,4
1436,57,F,70000,6
1437,75,M,71000,5
1438,52,M,73000,5
